ID,Probability
165673,0.48491755
381661,0.501986074
648587,0.499800551
77090,0.50275989
28311,0.494579072
620893,0.503344111
566514,0.497993648
15316,0.501625294
391537,0.496364245
69660,0.49931143
435932,0.500081838
200170,0.502729436
4817,0.503553345
413981,0.497148282
303820,0.502707942
448311,0.506420767
242041,0.497471671
656589,0.49725036
449840,0.492295438
323912,0.495644834
565790,0.492143663
567064,0.498862446
448534,0.496254634
334679,0.499161988
95940,0.498900494
329681,0.49428511
438225,0.502016256
543567,0.495479186
440066,0.499573281
177760,0.509892355
28313,0.506048445
286886,0.499968705
629906,0.488851326
437562,0.494516445
26241,0.507362329
543697,0.497040775
83882,0.502320269
110520,0.502020699
53729,0.504163962
597446,0.489181566
643002,0.49159264
520923,0.492862857
248745,0.500162867
525883,0.498254631
547398,0.500843541
364969,0.498753542
502579,0.502320269
329194,0.498028589
490081,0.516103403
431480,0.500294854
585461,0.502806514
447249,0.49213934
167139,0.509418378
170296,0.499749967
46378,0.508105222
613716,0.50171326
227085,0.502970845
633826,0.506784201
603743,0.50211823
64565,0.509337905
581596,0.501730672
294000,0.499873587
618904,0.497521138
225889,0.503453247
321906,0.500216055
556148,0.505370743
97785,0.507039783
343967,0.502722267
47127,0.504521735
653696,0.50890348
399613,0.487315366
39764,0.505389406
176767,0.490379278
231210,0.49623097
589295,0.498491817
522497,0.490317539
614160,0.50657899
492242,0.495802111
368206,0.495922668
268894,0.502674456
569272,0.493898288
353466,0.502970845
572073,0.492909677
625332,0.493719664
599065,0.495833141
448860,0.494013403
452093,0.487225476
464405,0.495548347
300332,0.50327866
53905,0.50005038
38557,0.502809935
139687,0.488854754
439391,0.499473142
30967,0.493981282
358660,0.503122991
479202,0.501208045
480265,0.499103017
159264,0.503482604
207388,0.506640704
644310,0.499464299
240751,0.500026541
590334,0.503860477
194233,0.500983702
497595,0.499950293
542192,0.508329276
391903,0.501154728
638925,0.493913116
593893,0.50192748
44326,0.499859362
453549,0.50313844
32285,0.505597547
319437,0.506107081
397169,0.502970845
422746,0.505618177
225370,0.498376535
584827,0.50815338
240520,0.504161203
350717,0.501366455
552296,0.504954005
478875,0.497511812
647151,0.504102495
613857,0.501125133
633901,0.502373585
50020,0.501017439
664434,0.495516114
546139,0.502236303
235730,0.501065327
42306,0.497786111
563167,0.493585011
7033,0.502914164
438559,0.507362329
475761,0.504924652
463385,0.487070371
638966,0.49555848
525000,0.498340466
628364,0.502004413
481520,0.499216425
174060,0.496459001
411896,0.4960991
487796,0.493284284
162350,0.498415468
104428,0.502976533
344650,0.501159645
457295,0.499974627
76868,0.506048445
275110,0.515620158
538369,0.494744764
357946,0.507918232
295841,0.498127314
519806,0.499475573
435414,0.494738557
451285,0.499380207
814,0.507650103
429916,0.498958423
380827,0.503529067
497451,0.501412253
290059,0.495659401
446471,0.497421899
368075,0.496203673
351564,0.497288669
495301,0.51095609
553086,0.497700273
623551,0.496795858
593137,0.498244169
350002,0.504016645
627629,0.498866211
82580,0.500821036
475402,0.504550986
136324,0.505024737
555473,0.498141122
211542,0.495635172
256736,0.503072364
656259,0.5040054
629937,0.49261838
577773,0.498651007
504095,0.493558467
510741,0.500045396
95905,0.501973064
243063,0.493505467
191082,0.502082654
263081,0.505766605
551443,0.50214378
553515,0.495427385
118248,0.501701994
546168,0.499591453
569206,0.496213836
334614,0.50203172
440185,0.501280179
367189,0.489546024
549998,0.498390211
41478,0.496988399
632854,0.5047345
456823,0.484460151
501951,0.505836367
460680,0.491482581
175288,0.50014983
436399,0.489374516
34613,0.499691893
609357,0.501130276
281341,0.49297277
485964,0.499348309
484739,0.495232427
585454,0.497737826
221336,0.499395154
620074,0.49802728
87680,0.501187278
598803,0.50378098
235767,0.500659842
428918,0.499028493
529699,0.502386943
565262,0.495747036
434613,0.496616663
596388,0.494467328
18687,0.504861436
312510,0.503371059
214623,0.501237102
183678,0.509931551
23737,0.503217034
563309,0.502122323
486103,0.492208876
518444,0.496381336
452091,0.491663828
183518,0.499712805
655151,0.502858314
532867,0.495475907
471416,0.495377404
264714,0.500125854
571436,0.494254118
524608,0.50143053
349727,0.506934049
501222,0.507845671
545176,0.49454088
225846,0.503234395
348093,0.501200552
185778,0.503102653
512791,0.506615451
261531,0.500713091
116702,0.497418089
150539,0.501929122
568891,0.497319956
251412,0.503301827
619669,0.496559162
553299,0.497465499
459474,0.498676491
147981,0.48690199
664182,0.492602812
491579,0.503916073
333039,0.506496691
142080,0.499056188
314828,0.499735457
180738,0.494307206
501769,0.49663329
636487,0.496850098
354194,0.501209023
208732,0.505417208
262695,0.502979423
660015,0.504648881
151620,0.48907436
551445,0.487283772
449580,0.498781529
195124,0.504237275
376291,0.504550986
237389,0.500055842
509969,0.493512364
425019,0.496256984
540317,0.501231685
664056,0.49395241
522152,0.495913841
234627,0.502304453
500249,0.501878908
57036,0.504005339
567093,0.500084605
368726,0.499031386
629262,0.499556151
465301,0.490397785
631893,0.496969041
303269,0.502632354
62339,0.49659109
291987,0.505924289
457021,0.499152361
520376,0.499580452
253365,0.588462538
561884,0.496148273
664594,0.493732477
377002,0.502060974
623114,0.502736593
88528,0.501491786
483441,0.49273743
209419,0.502408539
458768,0.495883205
204582,0.499103226
556418,0.497969041
420914,0.501138123
602718,0.49757378
356881,0.504682369
553075,0.495641032
455954,0.493404328
263348,0.490243811
638101,0.496203673
472554,0.492838444
37194,0.510652465
386588,0.493810141
459942,0.497906367
213704,0.496930554
416110,0.49246533
174651,0.497763414
303423,0.503052033
60573,0.505782173
501851,0.496386001
450096,0.501473378
468029,0.504412933
296187,0.500810945
493028,0.494487612
557959,0.491183632
139066,0.502641899
183339,0.493849246
552303,0.487492345
375872,0.488967502
622577,0.499502301
310226,0.507074345
425130,0.491446577
190906,0.507844178
600053,0.495651759
626573,0.49559832
208398,0.498704935
622376,0.50466432
75868,0.498737778
150270,0.504183605
69644,0.504678642
428719,0.49320764
175007,0.493487713
474099,0.498600583
486111,0.495482431
563203,0.492457703
556911,0.497658375
305498,0.50166528
444287,0.494945447
222347,0.506845282
95912,0.496717336
13064,0.496324027
495444,0.496113451
543547,0.502249628
18414,0.502044138
289259,0.502979423
501586,0.496417103
634555,0.506439538
513492,0.505122951
288782,0.505513343
479040,0.503400815
374396,0.498446443
369901,0.496589438
54770,0.493397168
316628,0.490332136
260588,0.501015051
343401,0.493490808
146954,0.507488947
464577,0.494606617
393080,0.496592321
577489,0.49392804
502787,0.498222555
596217,0.49770546
399655,0.503951087
480236,0.503084154
130884,0.502221886
565703,0.487557762
510551,0.497600692
511184,0.499387079
264890,0.50787693
237475,0.492801401
297270,0.499661214
657125,0.50016821
292176,0.493285986
465885,0.492571342
514483,0.492882234
44318,0.50443933
519547,0.498644405
485130,0.492959578
388243,0.50815338
44314,0.510138951
217559,0.496907498
530861,0.501129022
528919,0.496838874
378459,0.505806585
518008,0.491609874
577963,0.507712869
61975,0.505615239
442098,0.499205751
215465,0.497593763
479229,0.5045163
447356,0.494541562
409415,0.487163283
80090,0.503860215
32628,0.491525521
193745,0.501534645
636147,0.50451228
176257,0.506210704
154653,0.506833504
645426,0.507281508
451204,0.499776251
344151,0.507638788
258292,0.503057336
334702,0.501584672
75244,0.503194516
104790,0.502017728
570093,0.492757421
557416,0.496895391
336568,0.504277575
460631,0.493214111
553406,0.50944739
284372,0.501266178
10764,0.496540169
377569,0.505016724
497026,0.496046826
465060,0.504233155
624568,0.505908925
627756,0.495918758
542785,0.489195884
445169,0.497564959
37129,0.50355369
453543,0.493461885
440621,0.500325616
530139,0.50059568
630251,0.50745439
350057,0.499800018
309665,0.503699925
127644,0.495664595
161308,0.498596761
125618,0.497326154
344600,0.501130379
66537,0.501270895
278645,0.500673154
258745,0.501685298
122761,0.498272844
391330,0.498254631
